Tick,StoppedRobots,AvgDistance
354,99,1.5988
355,99,1.59876
356,99,1.59873
357,99,1.5987
358,99,1.59867
359,99,1.59865
360,99,1.59863
361,99,1.59857
362,99,1.59845
363,99,1.59829
364,99,1.59808
365,99,1.59784
366,99,1.59758
367,99,1.59731
368,99,1.59695
369,99,1.59659
370,99,1.59623
371,99,1.59587
372,99,1.59551
373,99,1.59516
374,99,1.5948
375,99,1.59445
376,99,1.59409
377,99,1.59374
378,99,1.59339
379,99,1.59304
380,99,1.59269
381,99,1.59234
382,99,1.592
383,99,1.59173
384,99,1.59148
385,99,1.59127
386,99,1.59109
387,99,1.59095
388,99,1.59085
389,99,1.59075
390,99,1.59066
391,99,1.59058
392,99,1.5905
393,100,1.59042
394,100,1.59034
395,100,1.59033
396,100,1.59033
397,100,1.59033
398,100,1.59033
399,100,1.59033
400,100,1.59033
401,100,1.59033
402,100,1.59033
403,86,1.59033
404,93,1.59003
405,93,1.58989
406,86,1.58974
407,88,1.58903
408,91,1.58817
409,91,1.58778
410,91,1.5875
411,88,1.58705
412,92,1.58694
413,93,1.58696
414,92,1.5868
415,91,1.58642
416,93,1.58639
417,93,1.58655
418,92,1.58656
419,91,1.58689
420,92,1.58739
421,94,1.58785
422,94,1.58834
423,94,1.58862
424,94,1.58887
425,94,1.58916
426,93,1.58933
427,96,1.58951
428,96,1.5897
429,96,1.59013
430,96,1.59066
431,96,1.59124
432,96,1.59185
433,95,1.59253
434,96,1.59323
435,96,1.59398
436,95,1.59452
437,95,1.59503
438,96,1.59535
439,93,1.59565
440,96,1.5957
441,95,1.59571
442,94,1.59613
443,95,1.59638
444,96,1.59637
445,97,1.59641
446,97,1.59654
447,97,1.59643
448,97,1.5962
449,98,1.59596
450,98,1.59574
451,98,1.59557
452,98,1.59543
453,98,1.59528
454,98,1.59515
455,98,1.59501
456,97,1.59488
457,98,1.59476
458,97,1.59465
459,98,1.5944
460,98,1.59413
461,97,1.594
462,97,1.59366
463,98,1.59312
464,97,1.59278
465,98,1.59246
466,97,1.59227
467,98,1.59169
468,98,1.59111
469,98,1.59077
470,98,1.5904
471,98,1.58998
472,97,1.58951
473,98,1.58871
474,98,1.58781
475,97,1.58714
476,97,1.58645
477,98,1.58555
478,98,1.58466
479,98,1.58399
480,97,1.58336
481,97,1.5825
482,98,1.5816
483,98,1.58093
484,100,1.58032
485,100,1.57972
486,100,1.57962
487,99,1.57962
488,100,1.57946
489,100,1.57927
490,99,1.57925
491,100,1.57909
492,100,1.5789
493,100,1.57889
494,100,1.57889
495,100,1.57889
496,100,1.57889
497,100,1.57889
498,100,1.57889
499,100,1.57889
500,100,1.57889
501,100,1.57889
502,100,1.57889
503,100,1.57889
504,100,1.57889
505,100,1.57889
506,100,1.57889
507,100,1.57889
508,100,1.57889
509,100,1.57889
510,100,1.57889
511,100,1.57889
512,100,1.57889
513,100,1.57889
514,100,1.57889
515,100,1.57889
516,100,1.57889
517,100,1.57889
518,100,1.57889
519,99,1.57889
520,100,1.5786
521,99,1.57827
522,100,1.57794
523,100,1.57762
524,100,1.57756
525,100,1.57756
526,100,1.57756
527,100,1.57756
528,100,1.57756
529,100,1.57756
530,100,1.57756
531,100,1.57756
532,100,1.57756
533,100,1.57756
534,99,1.57756
535,100,1.57769
536,100,1.57783
537,100,1.57785
538,100,1.57785
539,99,1.57785
540,99,1.57767
541,99,1.57752
542,99,1.57737
543,99,1.57724
544,100,1.57713
545,100,1.57705
546,100,1.57703
