Tick,StoppedRobots,AvgDistance
1,0,1.49491
2,3,1.49339
3,3,1.49203
4,3,1.49189
5,4,1.49215
6,4,1.49272
7,4,1.49456
8,4,1.49674
9,4,1.49908
10,4,1.50106
11,4,1.50315
12,4,1.50538
13,5,1.50717
14,5,1.50904
15,6,1.51167
16,6,1.51472
17,6,1.51814
18,6,1.52182
19,6,1.52563
20,7,1.52983
21,7,1.5332
22,7,1.53718
23,7,1.54133
24,7,1.54594
25,7,1.55047
26,7,1.55429
27,7,1.55776
28,8,1.56077
29,9,1.56395
30,9,1.56737
31,9,1.57093
32,9,1.57422
33,9,1.57732
34,10,1.57899
35,10,1.58149
36,10,1.58454
37,10,1.58777
38,10,1.59072
39,10,1.59344
40,10,1.59595
41,10,1.59842
42,10,1.60061
43,10,1.6027
44,10,1.6043
45,12,1.60522
46,12,1.60617
47,12,1.60733
48,12,1.60878
49,12,1.61205
50,12,1.61461
51,12,1.61785
52,12,1.62122
53,12,1.62478
54,12,1.62818
55,12,1.63162
56,12,1.63533
57,12,1.63901
58,12,1.64248
59,12,1.64602
60,12,1.6497
61,12,1.6535
62,12,1.65744
63,12,1.66149
64,12,1.66568
65,12,1.66999
66,13,1.67443
67,13,1.67898
68,13,1.68218
69,13,1.68518
70,13,1.68873
71,13,1.69202
72,13,1.69515
73,13,1.69807
74,13,1.70074
75,13,1.70314
76,13,1.70526
77,13,1.70711
78,13,1.70871
79,13,1.70967
80,13,1.71065
81,13,1.71174
82,13,1.71294
83,13,1.71432
84,13,1.71584
85,13,1.7175
86,13,1.71929
87,13,1.72123
88,13,1.72215
89,13,1.72299
90,13,1.72387
91,13,1.72543
92,13,1.727
93,13,1.72846
94,13,1.72977
95,13,1.73096
96,13,1.73207
97,13,1.73296
98,13,1.73394
99,13,1.73507
100,13,1.7343
101,13,1.7339
102,14,1.73354
103,14,1.73244
104,14,1.73217
105,14,1.73178
106,14,1.73098
107,14,1.72983
108,14,1.72806
109,14,1.72601
110,14,1.72374
111,14,1.72143
112,14,1.71914
113,14,1.7166
114,14,1.71415
115,14,1.71182
116,14,1.70962
117,14,1.70754
118,14,1.7056
119,14,1.70378
120,14,1.7021
121,15,1.69912
122,15,1.69716
123,15,1.69506
124,16,1.69293
125,16,1.69082
126,16,1.68846
127,16,1.68581
128,16,1.68283
129,16,1.67951
130,16,1.67585
131,17,1.67153
132,17,1.66677
133,17,1.66309
134,17,1.65958
135,17,1.65601
136,17,1.65241
137,17,1.64888
138,17,1.64545
139,17,1.64212
140,17,1.63891
141,17,1.6358
142,17,1.6328
143,17,1.62992
144,17,1.62714
145,17,1.62449
146,17,1.62194
147,17,1.61951
148,17,1.6172
149,17,1.615
150,17,1.61296
151,17,1.61085
152,14,1.60864
153,15,1.60521
154,15,1.60154
155,14,1.59866
156,14,1.59559
157,14,1.59261
158,14,1.58981
159,15,1.58711
160,15,1.58432
161,15,1.58112
162,15,1.57773
163,14,1.57413
164,15,1.57033
165,14,1.56644
166,15,1.56279
167,15,1.55875
168,15,1.5547
169,15,1.5508
170,14,1.54705
171,14,1.54266
172,14,1.53848
173,15,1.5343
174,16,1.53028
175,16,1.52622
176,16,1.52192
177,16,1.51766
178,15,1.51352
179,15,1.50953
180,15,1.50526
181,15,1.50161
182,15,1.49744
183,15,1.49324
184,14,1.48917
185,14,1.4844
186,14,1.48042
187,14,1.47673
188,14,1.47282
189,15,1.46891
190,15,1.46542
191,15,1.46196
192,15,1.45857
193,15,1.45547
194,15,1.45245
195,13,1.44933
196,15,1.44639
197,15,1.44375
198,15,1.44128
199,15,1.4389
200,15,1.43652
201,15,1.43421
202,15,1.43202
203,15,1.42997
204,15,1.42813
205,15,1.42643
206,15,1.42489
207,15,1.42351
208,15,1.42227
209,15,1.4212
210,15,1.42028
