Tick,StoppedRobots,AvgDistance
354,35,1.81394
355,35,1.81467
356,36,1.81502
357,35,1.81573
358,31,1.81673
359,34,1.81767
360,33,1.81875
361,31,1.81962
362,36,1.81883
363,35,1.81782
364,32,1.81897
365,34,1.82104
366,35,1.82325
367,36,1.82494
368,35,1.82725
369,31,1.82988
370,34,1.83272
371,33,1.8357
372,31,1.83816
373,36,1.83938
374,34,1.84045
375,31,1.84257
376,32,1.84565
377,33,1.84796
378,35,1.84865
379,34,1.84997
380,30,1.85162
381,33,1.8534
382,32,1.85515
383,29,1.85657
384,33,1.8569
385,31,1.85732
386,28,1.8578
387,31,1.85837
388,32,1.85901
389,34,1.85912
390,33,1.85926
391,29,1.85897
392,31,1.85888
393,31,1.85879
394,30,1.85863
395,34,1.85846
396,32,1.85883
397,27,1.85947
398,29,1.86075
399,30,1.86187
400,31,1.86251
401,31,1.8632
402,28,1.86417
403,31,1.86474
404,31,1.86496
405,30,1.86465
406,34,1.86405
407,32,1.86326
408,28,1.86279
409,29,1.86316
410,32,1.86345
411,34,1.86255
412,35,1.86265
413,31,1.86306
414,33,1.86304
415,33,1.86264
416,33,1.86249
417,36,1.86214
418,34,1.86146
419,30,1.86115
420,29,1.86162
421,30,1.86192
422,32,1.86145
423,33,1.86158
424,30,1.86223
425,33,1.86256
426,32,1.86322
427,33,1.86402
428,36,1.86516
429,35,1.86595
430,32,1.86695
431,31,1.86833
432,31,1.86919
433,33,1.86932
434,35,1.86956
435,31,1.86946
436,33,1.86981
437,32,1.86968
438,32,1.86986
439,35,1.87003
440,34,1.86961
441,31,1.8692
442,28,1.8692
443,28,1.86897
444,29,1.8683
445,31,1.86779
446,28,1.8675
447,30,1.86793
448,30,1.86822
449,30,1.86908
450,33,1.86979
451,32,1.87042
452,32,1.87139
453,29,1.87261
454,30,1.87364
455,31,1.87502
456,32,1.87587
457,29,1.87735
458,31,1.87918
459,31,1.88076
460,31,1.88261
461,34,1.88439
462,33,1.88583
463,32,1.88717
464,28,1.88874
465,30,1.89105
466,32,1.89293
467,33,1.89507
468,30,1.89743
469,32,1.90005
470,32,1.90225
471,32,1.9045
472,34,1.90634
473,33,1.90764
474,32,1.90857
475,27,1.90955
476,29,1.91068
477,30,1.91144
478,31,1.91269
479,28,1.91446
480,28,1.91667
481,27,1.91872
482,28,1.92042
483,31,1.92192
484,30,1.9226
485,29,1.92303
486,24,1.92359
487,26,1.92439
488,26,1.92509
489,27,1.92645
490,24,1.92847
491,27,1.93045
492,25,1.93245
493,26,1.9348
494,29,1.93725
495,28,1.93914
496,28,1.94063
497,24,1.94161
498,27,1.94261
499,27,1.94337
500,30,1.94404
501,25,1.94518
502,27,1.94607
503,25,1.9471
504,25,1.94832
505,28,1.94927
506,27,1.94969
507,27,1.94976
508,25,1.95001
509,28,1.95039
510,28,1.95018
511,31,1.94998
512,28,1.94988
513,30,1.94976
514,28,1.95032
515,29,1.95128
516,30,1.9519
517,28,1.95146
518,27,1.95053
519,28,1.94989
520,31,1.94936
521,32,1.94864
522,34,1.94788
523,31,1.94612
524,33,1.94373
525,30,1.94196
526,31,1.94085
527,33,1.93953
528,32,1.93792
529,27,1.93596
530,26,1.93368
531,28,1.93085
532,28,1.92774
533,32,1.9249
534,30,1.92164
535,32,1.91859
536,32,1.91559
537,33,1.91294
538,33,1.91069
539,34,1.90917
540,31,1.90798
541,30,1.90596
542,33,1.90349
543,31,1.90094
544,36,1.89841
545,34,1.89626
546,34,1.895
547,34,1.8935
548,35,1.8921
549,34,1.89076
550,35,1.89012
551,32,1.88954
552,31,1.88861
553,34,1.88713
554,31,1.88532
555,35,1.88317
556,33,1.8813
557,33,1.87988
558,34,1.87835
559,35,1.87692
560,34,1.87568
561,35,1.87479
562,32,1.87402
563,31,1.8729
564,34,1.87168
565,32,1.8701
566,35,1.86849
567,33,1.86713
568,32,1.86614
569,33,1.86393
570,34,1.86036
571,33,1.85826
572,33,1.85646
573,31,1.85459
574,30,1.85285
575,33,1.85088
576,31,1.84864
577,35,1.84619
578,34,1.84394
579,32,1.84229
580,33,1.83971
581,34,1.83663
582,34,1.83483
583,33,1.83316
584,31,1.83166
585,30,1.83076
586,34,1.82981
587,32,1.82862
588,34,1.82715
589,34,1.82616
590,32,1.8254
591,32,1.82408
592,33,1.82227
593,33,1.82066
594,32,1.81921
595,30,1.81791
596,30,1.81714
597,33,1.81609
598,31,1.81481
599,35,1.81336
600,35,1.81178
601,35,1.81063
602,35,1.80952
603,36,1.80896
604,38,1.80854
605,37,1.8079
606,34,1.80706
607,34,1.80628
608,38,1.80526
609,34,1.80418
610,38,1.80295
611,37,1.80167
612,36,1.80026
613,36,1.79911
614,35,1.79838
615,37,1.79813
616,36,1.79782
617,33,1.79736
618,33,1.79709
619,37,1.79676
620,33,1.79625
621,37,1.79554
622,37,1.79471
623,36,1.79419
624,36,1.79379
625,35,1.79377
626,36,1.79371
627,35,1.7935
628,33,1.79355
629,33,1.79398
630,37,1.79433
631,33,1.7946
632,37,1.79462
633,38,1.79452
634,37,1.79448
635,38,1.79436
636,38,1.79455
637,39,1.7946
638,37,1.79457
639,33,1.79429
640,34,1.79445
641,38,1.79444
642,34,1.79432
643,38,1.79407
644,39,1.79412
645,38,1.79423
646,39,1.79473
647,39,1.79559
648,40,1.79666
649,40,1.79767
650,35,1.79878
651,36,1.80028
652,40,1.80173
653,35,1.8028
654,39,1.80396
655,39,1.80558
656,38,1.80689
657,38,1.80801
658,38,1.80952
659,39,1.8112
660,39,1.81287
661,36,1.81465
662,39,1.81699
663,43,1.81938
664,37,1.82135
665,41,1.82337
666,41,1.82547
667,40,1.82732
668,40,1.82922
669,41,1.83147
670,42,1.83389
671,40,1.83617
672,35,1.8385
673,38,1.84127
674,42,1.84408
675,36,1.84644
676,40,1.84861
677,41,1.85063
678,40,1.85278
679,39,1.85499
680,40,1.85769
681,41,1.86051
682,39,1.86315
683,34,1.8659
684,38,1.869
685,42,1.87215
686,36,1.87487
687,40,1.87686
688,40,1.87881
689,39,1.88052
690,38,1.88207
691,39,1.88387
692,40,1.88591
693,38,1.88767
694,33,1.88893
695,37,1.89034
696,41,1.89149
697,35,1.89244
698,40,1.89281
699,40,1.89313
700,38,1.89327
701,37,1.8934
702,38,1.89298
703,39,1.89241
704,37,1.89166
705,31,1.89096
706,34,1.89042
707,38,1.88935
708,32,1.88783
709,37,1.88598
710,38,1.88431
711,36,1.88221
712,35,1.88001
713,36,1.87831
714,37,1.87675
715,36,1.87494
716,30,1.87326
717,32,1.87182
718,36,1.87026
719,30,1.86817
720,35,1.86591
721,36,1.86379
722,34,1.86198
