Tick,StoppedRobots,AvgDistance
354,83,1.6465
355,90,1.64647
356,85,1.64639
357,83,1.64654
358,84,1.64688
359,87,1.64647
360,84,1.64604
361,87,1.64569
362,81,1.64549
363,84,1.64536
364,82,1.64558
365,83,1.64564
366,90,1.64585
367,85,1.646
368,83,1.64634
369,84,1.64679
370,87,1.64636
371,83,1.64622
372,86,1.64569
373,80,1.64581
374,83,1.64552
375,81,1.64533
376,82,1.64507
377,89,1.6448
378,84,1.64464
379,82,1.64458
380,83,1.64457
381,87,1.64403
382,83,1.64336
383,86,1.64258
384,80,1.64194
385,83,1.6412
386,81,1.64067
387,82,1.64005
388,90,1.63972
389,85,1.63924
390,84,1.639
391,85,1.63885
392,89,1.63819
393,85,1.6376
394,86,1.6371
395,81,1.63661
396,85,1.63613
397,82,1.63588
398,82,1.63556
399,90,1.63531
400,84,1.63497
401,83,1.63457
402,84,1.63426
403,88,1.63369
404,85,1.63301
405,85,1.6321
406,80,1.63123
407,85,1.63061
408,83,1.62968
409,83,1.62852
410,91,1.62762
411,85,1.62679
412,85,1.62598
413,86,1.62518
414,90,1.62396
415,87,1.62301
416,86,1.62194
417,81,1.62109
418,85,1.62039
419,83,1.6195
420,83,1.61887
421,91,1.61834
422,84,1.61795
423,84,1.6174
424,86,1.61694
425,90,1.61605
426,88,1.61538
427,86,1.61435
428,81,1.61367
429,85,1.61296
430,82,1.61166
431,82,1.61047
432,90,1.60963
433,84,1.60883
434,83,1.60808
435,85,1.60756
436,89,1.60625
437,87,1.60505
438,85,1.60395
439,80,1.60305
440,84,1.60197
441,81,1.60062
442,81,1.59986
443,88,1.59928
444,82,1.5991
445,81,1.59902
446,81,1.59929
447,85,1.59885
448,84,1.59862
449,82,1.59812
450,79,1.59783
451,83,1.59753
452,79,1.59716
453,79,1.59729
454,87,1.59736
455,80,1.59728
456,81,1.59741
457,83,1.5979
458,86,1.59813
459,86,1.59821
460,83,1.59791
461,80,1.59797
462,84,1.59822
463,79,1.59875
464,79,1.59953
465,88,1.60011
466,80,1.60072
467,82,1.60134
468,84,1.60205
469,86,1.60199
470,86,1.60207
471,82,1.60174
472,80,1.60194
473,85,1.60218
474,80,1.60272
475,80,1.60345
476,90,1.60403
477,80,1.60465
478,80,1.60557
479,82,1.60679
480,84,1.60754
481,85,1.60808
482,81,1.60847
483,79,1.60879
484,84,1.60867
485,80,1.60891
486,80,1.60918
487,90,1.60977
488,82,1.61052
489,82,1.61111
490,83,1.61218
491,85,1.61278
492,85,1.6134
493,81,1.61392
494,80,1.61488
495,84,1.61551
496,79,1.61649
497,79,1.61726
498,89,1.61801
499,81,1.6191
500,80,1.62032
501,82,1.6218
502,84,1.62212
503,85,1.62247
504,81,1.62317
505,79,1.62357
506,83,1.62377
507,78,1.62474
508,78,1.62531
509,88,1.62571
510,82,1.62615
511,80,1.627
512,83,1.62804
513,84,1.62841
514,83,1.62911
515,79,1.62959
516,79,1.63005
517,82,1.63038
518,77,1.63106
519,76,1.63123
520,87,1.63128
521,81,1.63165
522,79,1.63255
523,82,1.63383
524,84,1.63448
525,84,1.63536
526,77,1.63612
527,76,1.63697
528,80,1.63751
529,76,1.63836
530,74,1.63902
531,85,1.63958
532,79,1.64023
533,77,1.64107
534,80,1.64226
535,83,1.64279
536,84,1.64367
537,79,1.64454
538,77,1.64593
539,81,1.64697
540,77,1.64811
541,75,1.64912
542,86,1.65009
543,80,1.65108
544,78,1.65208
545,81,1.65304
546,84,1.65329
547,86,1.65317
548,81,1.65325
549,79,1.65369
550,83,1.65387
551,79,1.6541
552,77,1.65429
553,88,1.6542
554,83,1.65383
555,80,1.65373
556,83,1.65404
557,85,1.65359
558,87,1.6527
559,82,1.6515
560,80,1.65101
561,85,1.65006
562,81,1.64972
563,79,1.6494
564,90,1.64876
565,85,1.64815
566,82,1.64796
567,85,1.64816
568,86,1.64755
569,88,1.64659
570,83,1.6455
571,80,1.64504
572,84,1.64402
573,80,1.64318
574,77,1.64242
575,88,1.64146
576,83,1.64062
577,80,1.64036
578,84,1.6407
579,85,1.64051
580,87,1.64014
581,82,1.63974
582,80,1.63973
583,84,1.63952
584,79,1.63986
585,77,1.64029
586,87,1.64052
587,82,1.64086
588,80,1.64169
589,84,1.64264
590,85,1.64313
591,87,1.64387
592,83,1.64463
593,81,1.64566
594,85,1.64615
595,79,1.6468
596,78,1.64777
597,88,1.64846
598,83,1.64896
599,80,1.64932
600,85,1.65013
601,86,1.65086
602,88,1.65145
603,83,1.65223
604,82,1.65295
605,86,1.65345
606,80,1.65424
607,79,1.65516
608,87,1.65527
609,82,1.6554
610,78,1.65517
611,83,1.65523
612,83,1.65522
613,86,1.65522
614,81,1.65518
615,80,1.6549
616,84,1.65428
617,78,1.6539
618,79,1.65357
619,88,1.65299
620,83,1.65212
621,79,1.65107
622,85,1.64983
623,86,1.64864
624,88,1.64768
625,83,1.64673
626,82,1.64594
627,86,1.64491
628,79,1.64444
629,80,1.64439
630,89,1.64415
631,84,1.64357
632,80,1.64304
633,84,1.64234
634,86,1.64189
635,87,1.64155
636,82,1.64097
637,82,1.64051
638,86,1.63981
639,79,1.63912
640,80,1.63828
641,89,1.63721
642,83,1.63642
643,80,1.63545
644,84,1.63477
645,87,1.63405
646,88,1.63358
647,82,1.63316
648,81,1.63283
649,85,1.63249
650,80,1.63242
651,81,1.63203
652,90,1.63156
653,84,1.63136
654,81,1.63116
655,85,1.63131
656,88,1.63117
657,88,1.63096
658,83,1.63067
659,82,1.6307
660,87,1.63042
661,82,1.63023
662,83,1.62997
663,92,1.62954
664,86,1.62921
665,83,1.62875
666,87,1.62853
667,91,1.62831
668,91,1.6278
669,86,1.62715
670,82,1.6266
671,86,1.62604
672,81,1.62589
673,81,1.62549
674,91,1.62506
675,85,1.62451
676,82,1.62393
677,86,1.62347
678,90,1.62308
679,90,1.62268
680,85,1.6223
681,82,1.62205
682,86,1.62162
683,81,1.62147
684,80,1.6215
685,90,1.6217
686,84,1.62186
687,81,1.62203
688,85,1.62221
689,88,1.62241
690,89,1.62245
691,84,1.62248
692,82,1.62255
693,87,1.62237
694,82,1.62239
695,81,1.62227
696,91,1.6224
697,85,1.62256
